Heuristic,Run Time,Instance ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Simulated Annealing,20,1,86.0,87.0,82.0,79.0,75.0,88.0,86.0,79.0,78.0,74.0,80.0,81.0,84.0,78.0,87.0,80.0,82.0,74.0,78.0,88.0,79.0
Random Mutation,20,1,34.0,25.0,28.0,28.0,39.0,24.0,29.0,27.0,26.0,35.0,32.0,31.0,34.0,32.0,25.0,32.0,29.0,32.0,33.0,32.0,28.0
